web-scraper-order,web-scraper-start-url,pagination,pagination-href,recipe,recipe-href,name,ingredients,method
"1614355423-6345","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes/2","Dark mocha torte","https://www.bbcgoodfood.com/recipes/dark-mocha-torte","Dark mocha torte","",""
"1614355262-6288","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Coffee ice cream terrine","https://www.bbcgoodfood.com/recipes/coffee-ice-cream-terrine","","[{""ingredients"":""300g coffee ice cream""},{""ingredients"":""300g vanilla ice cream""},{""ingredients"":""1 tbsp vegetable oil , for the tin""},{""ingredients"":""300g dark chocolate , roughly chopped""},{""ingredients"":""50g coconut oil""},{""ingredients"":""50g honeycomb or Maltesers, crushed""}]","[{""method"":""STEP 1""},{""method"":""Leave the ice creams out at room temperature for a few mins to soften slightly. Brush a 1.2-litre loaf tin with the vegetable oil and line with cling film. Put 250g dark chocolate and the coconut oil in a small heatproof bowl over a pan of just simmering water. Stir to melt, then set aside to cool.""},{""method"":""STEP 2""},{""method"":""Spoon half the coffee ice cream into the base of the tin and level the surface. Working quickly, spread over a quarter of the chocolate sauce, then half the vanilla ice cream and another quarter of chocolate sauce. Repeat with the remaining chocolate sauce and ice creams, finishing with a layer of chocolate sauce. Cover loosely with cling film and freeze for at least 2 hrs, or ideally overnight.""},{""method"":""STEP 3""},{""method"":""Melt the remaining 50g chocolate in a heatproof bowl over a pan of simmering water. Lift the terrine out of the tin and turn out onto a plate. Drizzle with the melted chocolate and top with the crushed honeycomb or Maltesers. Cut into thick slices to serve.""}]"
"1614355335-6314","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","Page 3","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes/3","Chocca mocca caramel cake","https://www.bbcgoodfood.com/recipes/chocca-mocca-caramel-cake","","[{""ingredients"":""2 tsp instant coffee  granules/powder""},{""ingredients"":""2 tbsp cocoa powder""},{""ingredients"":""2 tbsp hot water""},{""ingredients"":""175g softened butter""},{""ingredients"":""175g golden caster sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""2 tbsp golden syrup""},{""ingredients"":""200g self-raising flour""},{""ingredients"":""4 tbsp milk""},{""ingredients"":""2 x 50g/2 x 2oz chocolate  caramel bars""},{""ingredients"":""100g chocolate  caramel bars""},{""ingredients"":""50g butter""},{""ingredients"":""2 tbsp milk""},{""ingredients"":""100g icing sugar , sifted""}]","[{""method"":""STEP 1""},{""method"":""Preheat the oven to 180C/Gas 4/fan oven 160C. Butter a 20cm/8in round cake tin and line the base with baking parchment.""},{""method"":""STEP 2""},{""method"":""Measure the coffee and cocoa into a cup, add the hot water and mix to a smooth paste. Put the butter, sugar, eggs, syrup, flour, milk and cocoa paste in a large mixing bowl and beat with a wooden spoon or electric beaters for 2-3 minutes until smooth. Break the caramel bars into sections and stir into the mixture.""},{""method"":""STEP 3""},{""method"":""Turn the mixture into the prepared tin and smooth the top. Bake for 35-40 minutes, until the top springs back when you press it lightly. Cool in the tin for 5 minutes, then turn out, peel off the lining paper and leave to cool.""},{""method"":""STEP 4""},{""method"":""To make the icing, break up the caramel bars and put in a small pan with the butter and milk. Gently heat until smooth, stirring all the time, then remove from the heat and stir in the icing sugar (don’t worry if it doesn’t dissolve immediately, just keep stirring). Leave to cool until it thickens enough to leave a trail when you lift the spoon. Put the cake on a serving plate, spread the icing over the top, letting it fall softly down the sides, then leave to set.""}]"
"1614355278-6293","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Coffee cake","https://www.bbcgoodfood.com/recipes/coffee-cake","Coffee cake","",""
"1614355368-6326","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","Page 3","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes/3","Affogato","https://www.bbcgoodfood.com/recipes/affogato-al-caffe-vanilla-ice-cream-coffee","","[{""ingredients"":""12 scoops good-quality vanilla ice cream""},{""ingredients"":""6 shots hot espresso coffee""}]","[{""method"":""STEP 1""},{""method"":""Several hours in advance, lay ice cream on a freezer-proof tray and put the tray back in the freezer.""},{""method"":""STEP 2""},{""method"":""To serve, put balls of ice cream into 6 small glasses or bowls, and pour a shot of hot espresso coffee over each. Serve straight away, stirring the vanilla ice cream into the hot coffee so that it melts a little.""}]"
"1614355449-6356","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes/2","Chunky fudge & coffee ripple ice cream","https://www.bbcgoodfood.com/recipes/chunky-fudge-coffee-ripple-ice-cream","","[{""ingredients"":""3 tbsp instant coffee granules""},{""ingredients"":""210g pot coffee sauce""},{""ingredients"":""8pieces of dairy fudge , squashed into smaller chunks""},{""ingredients"":""1 plump vanilla pod""},{""ingredients"":""300ml full-fat milk""},{""ingredients"":""300ml double cream""},{""ingredients"":""4 egg yolks""},{""ingredients"":""100g golden caster sugar""}]","[{""method"":""STEP 1""},{""method"":""Place a container in the freezer. Split the vanilla pod lengthways, scrape the seeds out with the point of the knife and tip into a pan with the milk, cream and pod. Bring to the boil, then remove from the heat and leave to infuse for at least 20 mins. For the best flavour, this can be done a few hours beforehand and left to go cold (see tip, below).""},{""method"":""STEP 2""},{""method"":""In a large bowl, whisk the sugar and egg yolks together for a few minutes until they turn pale and fluffy. Put the vanilla cream back on the heat until it’s just about to boil. Stir through the coffee granules then carefully sieve the liquid onto the yolks, beating with the whisk until completely mixed.""},{""method"":""STEP 3""},{""method"":""At this point, get a large bowl of iced water and sit a smaller bowl in it. Pour the custard back into the pan and cook on the lowest heat, stirring slowly and continuously, making sure the spoon touches the bottom of the pan, for about 10 mins until thickened (see rules, below). Strain the custard into the bowl sitting in the iced water and leave to cool, then churn until scoopable (see methods, below).""},{""method"":""STEP 4""},{""method"":""Layer the cold container with ice cream and spoonfuls of coffee sauce and fudge pieces. Freeze overnight and serve.""}]"
"1614355287-6297","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Macchiato","https://www.bbcgoodfood.com/recipes/macchiato","Macchiato","",""
"1614355228-6275","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Cold brew coffee","https://www.bbcgoodfood.com/recipes/cold-brew-coffee","Cold brew coffee","",""
"1614355310-6305","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Cappuccino","https://www.bbcgoodfood.com/recipes/cappuccino","Cappuccino","",""
"1614355191-6262","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Chocolate & coffee truffle pots","https://www.bbcgoodfood.com/recipes/chocolate-coffee-truffle-pots","","[{""ingredients"":""200g dark chocolate""},{""ingredients"":""100ml strong  coffee""},{""ingredients"":""4 tbsp favourite spirit, such as rum, brandy , Disaronno""},{""ingredients"":""400ml double cream""},{""ingredients"":""2 tbsp golden caster sugar""},{""ingredients"":""cocoa powder , to serve""}]","[{""method"":""STEP 1""},{""method"":""Break the chocolate into small chunks and tip into a bowl with the coffee and alcohol. Bring 250ml of the cream to the boil, then pour over the chocolate mixture and stir until the chocolate has melted and the mixture is smooth. Divide the mix between 6 coffee cups and leave to set overnight in the fridge.""},{""method"":""STEP 2""},{""method"":""To serve, whip the remaining cream with the sugar until just set. Spoon the cream onto the chocolate pots and serve dusted with cocoa powder so each cup looks like a cappuccino.""}]"
"1614355201-6266","https://www.bbcgoodfood.com/recipes/collection/coffee-recipes","","","Boozy coffee & walnut cake","https://www.bbcgoodfood.com/recipes/boozy-coffee-walnut-cake","","[{""ingredients"":""200g caster sugar""},{""ingredients"":""200g softened butter""},{""ingredients"":""4 eggs , beaten""},{""ingredients"":""200g self-raising flour""},{""ingredients"":""1 tsp baking powder""},{""ingredients"":""15 walnut  halves""},{""ingredients"":""2 heaped tbsp  instant coffee , dissolved in 1 tbsp boiling water""},{""ingredients"":""500g pot  mascarpone""},{""ingredients"":""85g light muscovado sugar""},{""ingredients"":""4 tbsp  Tia Maria""},{""ingredients"":""a few toasted  walnut  halves, for decoration""}]","[{""method"":""STEP 1""},{""method"":""Heat oven to 190C/fan 170C/gas 5. Butter two 20cm sandwich tins and line with non-stick baking paper. Toast the walnut halves in the oven for 10 mins. Reserve 10 and chop the rest. Dissolve the instant coffee in 1 tbsp of boiling water, cool and add the basic cake mix (see recipe for Classic Victoria sponge, right), instead of the milk.""},{""method"":""STEP 2""},{""method"":""For the filling, beat the mascarpone with the light muscovado sugar and Tia Maria until smooth. Sandwich the cooled cakes with a third of the filling and the chopped walnuts.""},{""method"":""STEP 3""},{""method"":""Cover the top and sides of the cake with the rest of the filling and decorate the top with the toasted walnut halves.""}]"
