web-scraper-order,web-scraper-start-url,pagination,pagination-href,recipe,recipe-href,name,ingredients,method
"1614351532-5253","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","","","Apple, pear & cherry compote","https://www.bbcgoodfood.com/recipes/apple-pear-cherry-compote","Apple, pear & cherry compote","",""
"1614351536-5256","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","","","Rhubarb & custard crunch","https://www.bbcgoodfood.com/recipes/rhubarb-custard-crunch","","[{""ingredients"":""450g rhubarb , trimmed and cut into chunks""},{""ingredients"":""85g caster sugar""},{""ingredients"":""roughly a 500g/1lb 2oz tub or can ready-made custard""},{""ingredients"":""½ quantity honey crunch granola (see 'Goes well with')""}]","[{""method"":""STEP 1""},{""method"":""First make the Honey crunch granola with almonds & apricots (see 'Goes well with'). You'll need half the granola for this recipe.""},{""method"":""STEP 2""},{""method"":""Heat oven to 150C/130C fan/gas 2. Arrange the rhubarb in a roasting tin just big enough to hold it all in a single layer, scatter with the sugar and cover with foil. Bake for 15-20 mins until just tender, then cool in the tin.""},{""method"":""STEP 3""},{""method"":""Spoon a little rhubarb into the base of 6 glasses or pots, then top with a couple of tbsp custard. Sprinkle over some granola, then repeat the layers to fill the glasses.""}]"
"1614351576-5272","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","","","Spiced lentil & butternut squash soup","https://www.bbcgoodfood.com/recipes/spiced-lentil-butternut-squash-soup","","[{""ingredients"":""2 tbsp olive oil""},{""ingredients"":""2 onions, finely chopped""},{""ingredients"":""2 garlic cloves, crushed""},{""ingredients"":""¼ tsp hot chilli powder""},{""ingredients"":""1 tbsp ras el hanout""},{""ingredients"":""1 butternut squash, peeled and cut into 2cm pieces""},{""ingredients"":""100g red lentils""},{""ingredients"":""1l hot vegetable stock""},{""ingredients"":""1 small bunch coriander, leaves chopped, plus extra to serve""},{""ingredients"":""dukkah (see tip) and natural yogurt, to serve""}]","[{""method"":""STEP 1""},{""method"":""Heat the oil in a large flameproof casserole dish or saucepan over a medium-high heat. Fry the onions with a pinch of salt for 7 mins, or until softened and just caramelised. Add the garlic, chilli and ras el hanout, and cook for 1 min more.""},{""method"":""STEP 2""},{""method"":""Stir in the squash and lentils. Pour over the stock and season to taste. Bring to the boil, then reduce the heat to a simmer and cook, covered, for 25 mins or until the squash is soft. Blitz the soup with a stick blender until smooth, then season to taste. To freeze, leave to cool completely and transfer to large freezerproof bags.""},{""method"":""STEP 3""},{""method"":""Stir in the coriander leaves and ladle the soup into bowls. Serve topped with the dukkah, yogurt and extra coriander leaves.""}]"
"1614351767-5337","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes/2","Cheeseburger & chips","https://www.bbcgoodfood.com/recipes/cheeseburger-chips","Cheeseburger & chips","",""
"1614351677-5304","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes/2","Carrot cake","https://www.bbcgoodfood.com/recipes/yummy-scrummy-carrot-cake-recipe","","[{""ingredients"":""175g light muscovado sugar""},{""ingredients"":""175ml sunflower oil""},{""ingredients"":""3 large eggs, lightly beaten""},{""ingredients"":""140g grated carrot (about 3 medium)""},{""ingredients"":""100g raisins""},{""ingredients"":""1 large orange, zested""},{""ingredients"":""175g self-raising flour""},{""ingredients"":""1 tsp bicarbonate of soda""},{""ingredients"":""1 tsp ground cinnamon""},{""ingredients"":""½ tsp grated nutmeg (freshly grated will give you the best flavour)""},{""ingredients"":""175g icing sugar""},{""ingredients"":""1½-2 tbsp orange juice""}]","[{""method"":""STEP 1""},{""method"":""Heat the oven to 180C/160C fan/gas 4. Oil and line the base and sides of an 18cm square cake tin with baking parchment.""},{""method"":""STEP 2""},{""method"":""Tip the sugar, sunflower oil and eggs into a big mixing bowl. Lightly mix with a wooden spoon. Stir in the carrots, raisins and orange zest.""},{""method"":""STEP 3""},{""method"":""Sift the flour, bicarbonate of soda, cinnamon and nutmeg into the bowl. Mix everything together, the mixture will be soft and almost runny.""},{""method"":""STEP 4""},{""method"":""Pour the mixture into the prepared tin and bake for 40-45 mins or until it feels firm and springy when you press it in the centre.""},{""method"":""STEP 5""},{""method"":""Cool in the tin for 5 mins, then turn it out, peel off the paper and cool on a wire rack. (You can freeze the cake at this point if you want to serve it at a later date.)""},{""method"":""STEP 6""},{""method"":""Beat the icing sugar and orange juice in a small bowl until smooth – you want the icing about as runny as single cream. Put the cake on a serving plate and boldly drizzle the icing back and forth in diagonal lines over the top, letting it drip down the sides.""}]"
"1614351546-5260","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","","","Honey crunch granola with almonds & apricots","https://www.bbcgoodfood.com/recipes/honey-crunch-granola-almonds-apricots","","[{""ingredients"":""200g clear honey""},{""ingredients"":""4 tbsp mild-flavoured oil , such as sunflower or rapeseed""},{""ingredients"":""300g rolled oats""},{""ingredients"":""100g whole unblanched almonds""},{""ingredients"":""1 tsp ground cinnamon""},{""ingredients"":""140g dried apricots , roughly chopped""}]","[{""method"":""STEP 1""},{""method"":""Heat oven to 180C/160C fan/gas 4. In a large pan, heat the honey and oil together until bubbling, then tip in the oats, almonds and cinnamon. Stir well until the oats are well coated, then tip onto 1-2 large baking sheets, spreading the mixture out. Bake for 20-25 mins, stirring halfway, until golden.""},{""method"":""STEP 2""},{""method"":""Remove from the oven and, while still hot, stir in the apricots. Spread out again and press down with a spatula to cool – this will help it to clump together. Once cool, serve with yogurt or milk, and fruit, if you like. Will keep in an airtight container for 3 weeks. See 'Goes well with' for recipes using your granola.""}]"
"1614351748-5329","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes/2","Macadamia & cranberry American cookies","https://www.bbcgoodfood.com/recipes/macadamia-cranberry-american-cookies","Macadamia & cranberry American cookies","",""
"1614351541-5257","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","","","Chocolate flapjacks","https://www.bbcgoodfood.com/recipes/chocolate-flapjacks","Chocolate flapjacks","",""
"1614351571-5270","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","","","Faggots with onion gravy","https://www.bbcgoodfood.com/recipes/faggots-onion-gravy","","[{""ingredients"":""little oil, for the tin""},{""ingredients"":""170g pack sage & onion stuffing mix (we used Paxo)""},{""ingredients"":""500g pack diced pork shoulder""},{""ingredients"":""300g pig liver""},{""ingredients"":""½ tsp ground mace""},{""ingredients"":""2 onions, thinly sliced""},{""ingredients"":""1 tbsp sunflower oil""},{""ingredients"":""2 tsp sugar""},{""ingredients"":""1 tbsp red wine vinegar""},{""ingredients"":""3 tbsp plain flour""},{""ingredients"":""850ml beef stock""},{""ingredients"":""handful chopped parsley""},{""ingredients"":""mash and veg, to serve (optional)""}]","[{""method"":""STEP 1""},{""method"":""Heat oven to 160C/140C fan/gas 3. Lightly oil a very large roasting tin. Tip the stuffing mix into a large bowl, add 500ml boiling water, stir and set aside.""},{""method"":""STEP 2""},{""method"":""Pulse the pork in a food processor until finely chopped. Add the liver and pulse again. Add to the stuffing with the mace, 1 tsp salt and plenty of black pepper. Stir well. Shape the mixture (it will be very soft) into 24 large faggots and put in the prepared tin.""},{""method"":""STEP 3""},{""method"":""To make the gravy, fry the onions in the oil until starting to turn golden. Add the sugar and continue cooking, stirring frequently, until caramelised. Tip in the vinegar and allow to sizzle. Mix the flour with a couple of tbsp water. Pour the stock into the onions, then add the flour paste and cook, stirring constantly, until smooth and starting to thicken. When it is thick, pour into the tin with the faggots, cover with foil and bake for 1 hr until cooked through. Serve sprinkled with parsley, with mash and a veg, if you like.""}]"
"1614351738-5325","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/batch-cooking-recipes/2","Creamy salmon with chunky ratatouille","https://www.bbcgoodfood.com/recipes/creamy-salmon-chunky-ratatouille","Creamy salmon with chunky ratatouille","",""
