name,ingredients,method
"Pearl barley, bacon & leek casserole","[{""""ing_group"""":""1 tbsp olive oil""},{""""ing_group"""":""2 leeks , thickly sliced""},{""""ing_group"""":""2 garlic cloves , finely chopped""},{""""ing_group"""":""300g pearl barley, soaked for 1 hr""},{""""ing_group"""":""4 carrots , cubed""},{""""ing_group"""":""1 tbsp Dijon mustard , plus extra to serve""},{""""ing_group"""":""1l chicken stock""},{""""ing_group"""":""300g Savoy cabbage , shredded""},{""""ing_group"""":""200g lean  bacon joint, cooked, chopped into small pieces""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat a large pan over a medium heat. Add the olive oil and cook the leeks for a few mins, then add the garlic and cook for just 1 min more.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the pearl barley, carrots and mustard, then pour over the chicken stock. Season with plenty of ground black pepper and simmer for 20 mins, stirring occasionally. Add the cabbage with the bacon, and cook for 5-10 mins until cabbage is wilted and tender. Serve with extra Dijon mustard on the side.""}]"
Lentil & sweet potato curry,"[{""""ing_group"""":""2 tbsp vegetable or olive oil""},{""""ing_group"""":""1 red onion, chopped""},{""""ing_group"""":""1 tsp cumin seeds""},{""""ing_group"""":""1 tsp mustard seeds (any colour)""},{""""ing_group"""":""1 tbsp medium curry powder""},{""""ing_group"""":""100g red or green lentil, or a mixture""},{""""ing_group"""":""2 medium  sweet potatoes, peeled and cut into chunks""},{""""ing_group"""":""500ml vegetable stock""},{""""ing_group"""":""400g can chopped tomato""},{""""ing_group"""":""400g can chickpea, drained""},{""""ing_group"""":""¼ small pack coriander (optional)""},{""""ing_group"""":""natural yogurt and naan bread, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat 2 tbsp vegetable or olive oil in a large pan, add 1 chopped red onion and cook for a few mins until softened.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add 1 tsp cumin seeds, 1 tsp mustard seeds and 1 tbsp medium curry powder and cook for 1 min more, then stir in 100g red or green lentils (or a mixture), 2 medium sweet potatoes, cut into chunks, 500ml vegetable stock and a 400g can chopped tomatoes.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Bring to the boil, then cover and simmer for 20 mins until the lentils and sweet potatoes are tender. Add a drained 400g can chickpeas, then heat through.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Season, sprinkle with ¼ small pack coriander, if you like, and serve with seasoned yogurt and naan bread.""}]"
Sichuan-style pork & green bean stir-fry,"[{""""ing_group"""":""100g basmati rice""},{""""ing_group"""":""200g green bean , topped and tailed, then halved""},{""""ing_group"""":""1 ½ tbsp sunflower oil""},{""""ing_group"""":""140g pork mince""},{""""ing_group"""":""4 tsp dark soy sauce""},{""""ing_group"""":""2 tsp rice wine""},{""""ing_group"""":""1 tsp caster sugar""},{""""ing_group"""":""¼ tsp Sichuan pepper , lightly crushed using a pestle and mortar""},{""""ing_group"""":""1 red chilli , halved and sliced""},{""""ing_group"""":""4 fat garlic cloves , finely chopped""},{""""ing_group"""":""1 small knob of  ginger , finely chopped""},{""""ing_group"""":""3 spring onions , 2 finely chopped, 1 sliced for garnish""},{""""ing_group"""":""2 tsp sesame oil""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Cook the rice following pack instructions. Boil the beans for 4 mins, then drain under cold water, pat dry and set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""In a large non-stick wok or frying pan, heat 1 tbsp of the oil. Add the pork mince and fry for a few mins, breaking up into small pieces with the back of a spoon. Stir in half the soy, the rice wine and sugar and cook for 30 secs more. When the meat is cooked through, tip onto a plate.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Heat the remaining oil in the pan. Add the pepper, chilli, garlic, ginger and chopped onions, and stir-fry for 2 mins until ginger and garlic are softened. Tip in the beans, heat through, then add the mince – stir-fry for 2 mins until hot. Stir in the rest of the soy and sesame oil. Scatter with spring onions and serve with rice.""}]"
Healthy chilli,"[{""""ing_group"""":""1-2 tbsp olive oil, plus extra if needed""},{""""ing_group"""":""400g diced stewing beef""},{""""ing_group"""":""1 onion, finely chopped""},{""""ing_group"""":""2 garlic cloves, finely chopped""},{""""ing_group"""":""1 ½ tsp ground cumin""},{""""ing_group"""":""1-2 tbsp chipotle paste (or gluten-free alternative), depending on how spicy you like it""},{""""ing_group"""":""400g can kidney bean in chilli sauce""},{""""ing_group"""":""400g can chopped tomato""},{""""ing_group"""":""1 lime, zested and cut into wedges""},{""""ing_group"""":""¼ small pack coriander, leaves only""},{""""ing_group"""":""cooked rice, to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oil in a large pan and cook the beef pieces for a few mins on each side until browned all over. Remove from the pan with a slotted spoon and set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the onion to the pan, with extra oil if needed, and cook until softened. Stir in the garlic, cumin and chipotle paste, and cook for 1 min. Sieve the kidney beans, reserving the sauce. Add this sauce, along with the chopped tomatoes and a can full of water, to the pan. Stir well, then return the meat to the pan. Bring to a simmer, then cook, covered, for 2 hrs or until the beef is tender (or bake in the oven for 3 hrs at 160C/140C fan/gas 3).""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Add the reserved kidney beans and lime zest, season and warm through. Serve with a scattering of coriander leaves, the lime wedges to squeeze over, and rice, if you like.""}]"
Tomato & rice soup,"[{""""ing_group"""":""2 tsp olive oil""},{""""ing_group"""":""1 onion , finely chopped""},{""""ing_group"""":""1 carrot , finely chopped""},{""""ing_group"""":""1 celery stick, finely chopped""},{""""ing_group"""":""1 tbsp golden caster sugar""},{""""ing_group"""":""2 tbsp vinegar (white, red or balsamic)""},{""""ing_group"""":""1 tbsp tomato purée""},{""""ing_group"""":""400g can  chopped tomato or passata""},{""""ing_group"""":""1l vegetable stock made with 2 cubes""},{""""ing_group"""":""140g rice (long-grain, basmati, wild, brown or a mixture)""},{""""ing_group"""":""¼ small pack  parsley , leaves only, chopped, and a few drops of pesto, to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oil in a large saucepan and add the onion, carrot and celery, then cook gently until softened. Add the sugar and vinegar, cook for 1 min, then stir through the tomato purée. Add the chopped tomatoes or passata, the vegetable stock, and any brown rice, if using, then cover and simmer for 10 mins. If you are using wild rice, add this and simmer for 10 mins more. Finally, add any white rice you’re using, and simmer for a final 10 mins until the rice is tender.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Just before serving, sprinkle over some chopped parsley and season to taste. Divide into bowls and add a swirl of pesto to each, if you like.""}]"
Egg-fried cauliflower rice with prawn cracker crumbs,"[{""""ing_group"""":""160g frozen green beans""},{""""ing_group"""":""160g frozen peas""},{""""ing_group"""":""1 tbsp sunflower oil""},{""""ing_group"""":""50g bacon lardons""},{""""ing_group"""":""1 onion , chopped""},{""""ing_group"""":""160g carrots , peeled and finely chopped""},{""""ing_group"""":""1 large egg , beaten""},{""""ing_group"""":""200g small cauliflower florets""},{""""ing_group"""":""1 tbsp soy sauce""},{""""ing_group"""":""25ml sweet chilli sauce""},{""""ing_group"""":""20g prawn cracker""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the kettle on to boil. Put the beans and peas in a large sieve then pour over the boiled water to defrost them. Drain and set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat 1 tsp oil in a large, non-stick frying pan or wok. Add the bacon and fry for 2-3 mins. Add another 1 tsp oil and cook the onion and carrots for 1-2 mins until slightly softened, then push the veg and bacon to one side of the pan. Add the final 1 tsp oil, then pour in the egg, stirring constantly to scramble it.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Pulse the cauliflower in a food processor until it resembles rice. Add the cauliflower and soy to the pan, and stir together. Add the green beans and peas, and cook, stirring, for 1-2 mins until hot through. Divide between two plates and serve with sweet chilli sauce for drizzling. Break the prawn crackers into rough crumbs. The crackers absorb moisture quickly so, to keep them crunchy, it’s best to serve them in a dish on the side to sprinkle over the rice while eating.""}]"
Smoky sweet potato & bean cakes with citrus salad,"[{""""ing_group"""":""1 sweet potato (about 200g), cut into cubes""},{""""ing_group"""":""400g can red kidney beans , drained and rinsed""},{""""ing_group"""":""3 spring onions , finely sliced""},{""""ing_group"""":""small bunch of  coriander , chopped""},{""""ing_group"""":""1 tbsp chipotle paste""},{""""ing_group"""":""2 tbsp sunflower oil""},{""""ing_group"""":""2 tbsp mayonnaise""},{""""ing_group"""":""juice 1 lime""},{""""ing_group"""":""1 Little Gem lettuce , torn""},{""""ing_group"""":""½ cucumber , halved lengthways and sliced on the diagonal""},{""""ing_group"""":""1 carrot , halved lengthways and sliced on the diagonal""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Microwave the sweet potato on High for 6 mins until tender. Lightly mash the beans, then add the potatoes, 2 spring onions, coriander, chipotle paste and seasoning. Mash a little more until the potato is combined. Shape into 4 cakes.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat the oil in a non-stick frying pan, then fry the bean cakes for 4-5 mins each side.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Meanwhile, mix the mayo, lime juice and seasoning in a bowl. Add remaining onion and salad ingredients and toss well. Serve alongside the bean cakes.""}]"
Fruity tabbouleh with feta,"[{""""ing_group"""":""100g bulgur wheat""},{""""ing_group"""":""6 tbsp olive oil""},{""""ing_group"""":""100g couscous""},{""""ing_group"""":""200g mixed shelled nut , roughly chopped (any mixture of almonds, hazelnuts, walnuts, pecans and pistachios)""},{""""ing_group"""":""200g mixed  dried fruit , large fruit chopped (any mixture of raisins, sultanas, apricots, dates and cranberries)""},{""""ing_group"""":""zest and juice 2  lemons""},{""""ing_group"""":""small pack  mint , leaves roughly chopped""},{""""ing_group"""":""small pack  flat-leaf parsley , leaves roughly chopped""},{""""ing_group"""":""2 garlic cloves , crushed""},{""""ing_group"""":""100g feta cheese , crumbled""},{""""ing_group"""":""grilled lamb or  pork chops , to serve (optional)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Boil the kettle. Put the bulgur wheat in a sieve and rinse with cold water until the water runs clear. Drain well and transfer to a mixing bowl. Pour over 200ml boiling water and 1 tbsp olive oil, cover with a plate and leave to soak for 30 mins. Meanwhile, put the couscous into a second mixing bowl with 1 tbsp olive oil, just cover with boiling water, then cover with a plate and leave to stand for 5-10 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Once the bulgur wheat and couscous are ready, put them in a mixing bowl and fluff up the grains with a fork. Stir through the nuts and dried fruit, too.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Whisk together the lemon zest and juice, herbs, remaining olive oil and the garlic. Pour over the grains, nuts and fruit, and stir everything together well with some seasoning. Transfer to a serving plate, scatter with the crumbled feta, and serve with grilled lamb or pork chops, if you like.""}]"
Roasted beetroot & egg salad,"[{""""ing_group"""":""200g vacuum-packed cooked beetroot (not in vinegar), cut into wedges""},{""""ing_group"""":""2 tbsp olive oil""},{""""ing_group"""":""3 tsp sherry vinegar""},{""""ing_group"""":""1 tbsp clear honey""},{""""ing_group"""":""2 eggs""},{""""ing_group"""":""2 tbsp crème fraîche""},{""""ing_group"""":""1 tsp Dijon mustard""},{""""ing_group"""":""a few stalks of  dill , most finely chopped, a few small fronds picked for garnish""},{""""ing_group"""":""70g bag lamb's lettuce""},{""""ing_group"""":""1 tbsp roasted chopped hazelnut""},{""""ing_group"""":""2 slices  bread and butter, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Pop the beetroot in a roasting tin, add half the oil, 2 tsp of the vinegar, the honey and seasoning. Roast for 20-25 mins, tossing twice until sticky. Leave to cool for a few mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Meanwhile, put the eggs in boiling water. Turn down the heat and simmer for 10 mins, then run under cold water to cool. Peel and halve.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Mix the remaining oil, crème fraîche, mustard, the final tsp of vinegar and chopped dill together. Toss the lamb’s lettuce in the dressing, and arrange on plates with the roasted beetroot and egg. Scatter with a few more dill fronds and tumble over the nuts. Serve with bread and butter.""}]"
Apple crumble sundae,"[{""""ing_group"""":""2 tbsp butter""},{""""ing_group"""":""4 Granny Smiths apples, cored and diced""},{""""ing_group"""":""1 tsp ground cinnamon""},{""""ing_group"""":""2 tbsp light brown sugar""},{""""ing_group"""":""8 scoops vanilla ice cream""},{""""ing_group"""":""2 ginger nuts biscuits, crushed""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""In a small saucepan, melt the butter over a gentle heat and add the apples, cinnamon and sugar. Cook for 10 mins or until the apples have softened but still hold their shape.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Split the mixture between four sundae glasses or bowls. Sit 2 scoops of ice cream on top of each, followed by the crushed biscuits. Serve while the apple mix is still warm.""}]"
