web-scraper-order,web-scraper-start-url,pagination,pagination-href,recipe,recipe-href,name,ingredients,method
"1614356268-6539","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes/2","Pink grapefruit punch","https://www.bbcgoodfood.com/recipes/pink-grapefruit-punch","Pink grapefruit punch","",""
"1614356060-6468","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","","","Mudslide","https://www.bbcgoodfood.com/recipes/mudslide","","[{""ingredients"":""50g dark chocolate""},{""ingredients"":""ice""},{""ingredients"":""60ml coffee-flavoured liqueur""},{""ingredients"":""60ml vodka""},{""ingredients"":""60ml Irish cream liqueur""},{""ingredients"":""100ml double cream""}]","[{""method"":""STEP 1""},{""method"":""Put two small tumblers in the fridge to chill overnight. Put 30g of the chocolate in a shallow bowl and melt in the microwave in short bursts. Dip the rim of the chilled glasses in the melted chocolate, then stand them upright so it gradually drips down the sides. Return to the fridge until you're ready to serve.""},{""method"":""STEP 2""},{""method"":""Fill a cocktail shaker with ice, then pour in the coffee-flavoured liqueur, vodka, Irish cream liqueur and double cream. Shake until the outside of the shaker is very cold.""},{""method"":""STEP 3""},{""method"":""Put a few ice cubes in the prepared glasses, then strain in the cocktail. Finely grate over the remaining chocolate and serve with a paper straw.""}]"
"1614356318-6560","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes/2","Salted caramel pecan sour","https://www.bbcgoodfood.com/recipes/salted-caramel-pecan-sour","","[{""ingredients"":""100g pecans , finely chopped""},{""ingredients"":""160g golden caster sugar""},{""ingredients"":""½ tsp sea salt flakes""},{""ingredients"":""Reyka vodka""},{""ingredients"":""3 egg whites""},{""ingredients"":""120ml fresh clementine juice (about 2-3 clementines)""},{""ingredients"":""18 drops chocolate bitters (we used Fee brothers Aztec chocolate bitters)""},{""ingredients"":""ice""},{""ingredients"":""6 dehydrated orange slices , to serve""},{""ingredients"":""good grating of nutmeg , to serve""}]","[{""method"":""STEP 1""},{""method"":""Toast the pecans in a dry saucepan for 1-2 mins, then take off the heat. Quickly add the sugar and 80ml water, stir rapidly to dissolve the sugar, add the salt, then leave the mixture to cool completely. Pour through a sieve to remove the pecans.""},{""method"":""STEP 2""},{""method"":""Pour the pecan salted caramel syrup, vodka, egg whites, clementine juice and bitters into a cocktail shaker. Shake hard for 30 secs to add volume to the egg white. Add some ice and shake again for a further 15 secs, then strain into rocks or coupe glasses. Garnish each with a dehydrated orange slice and grate fresh nutmeg over, to taste. Serve immediately.""}]"
"1614355979-6437","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","","","Black russian cocktail","https://www.bbcgoodfood.com/recipes/black-russian-cocktail","Black russian cocktail","",""
"1614355968-6434","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","","","Cuba Libre","https://www.bbcgoodfood.com/recipes/cuba-libre","","[{""ingredients"":""½ lime""},{""ingredients"":""50ml rum , we used white rum""},{""ingredients"":""100ml cola""},{""ingredients"":""ice""}]","[{""method"":""STEP 1""},{""method"":""Cut ½ a lime into four small wedges. Squeeze the juice from two of the wedges into a tall glass. Drop the remaining wedges into the glass and fill with ice. Pour in the rum then fill up with cola and stir gently.""}]"
"1614356011-6448","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","","","Easy bloody mary","https://www.bbcgoodfood.com/recipes/easy-bloody-mary","","[{""ingredients"":""small handful ice""},{""ingredients"":""200ml tomato juice""},{""ingredients"":""50ml vodka""},{""ingredients"":""2 tbsp amontillado sherry""},{""ingredients"":""1 tsp sherry vinegar , or to taste""},{""ingredients"":""pinch celery salt""},{""ingredients"":""Worcestershire sauce , to taste""},{""ingredients"":""Tabasco , to taste""},{""ingredients"":""squeeze of lemon juice""},{""ingredients"":""celery sticks and lemon wedges, to serve (optional)""}]","[{""method"":""STEP 1""},{""method"":""Put the ice in a tall glass. Pour over the tomato juice, vodka, amontillado and sherry vinegar. Stir in the celery salt, then season to taste with the Worcestershire sauce, Tabasco and lemon juice. Taste again to see if more sherry vinegar is needed.""},{""method"":""STEP 2""},{""method"":""Serve with celery sticks, lemon wedges and a sprinkle of freshly ground black pepper, if you like.""}]"
"1614356055-6466","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","","","Sex on the beach cocktail","https://www.bbcgoodfood.com/recipes/sex-beach-cocktail","","[{""ingredients"":""ice""},{""ingredients"":""50ml vodka""},{""ingredients"":""25ml peach schnapps""},{""ingredients"":""2 oranges, juiced, plus 2 slices to garnish""},{""ingredients"":""50ml cranberry juice""},{""ingredients"":""glacé cherries, to garnish (optional)""}]","[{""method"":""STEP 1""},{""method"":""Fill two tall glasses with ice cubes. Pour the vodka, peach schnapps and fruit juices into a large jug and stir.""},{""method"":""STEP 2""},{""method"":""Divide the mixture between the two glasses and stir gently to combine. Garnish with the cocktail cherries and orange slices.""}]"
"1614356147-6501","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","Page 3","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes/3","Sparkling mint & lemon juleps","https://www.bbcgoodfood.com/recipes/sparkling-mint-lemon-juleps","Sparkling mint & lemon juleps","",""
"1614356260-6537","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes/2","Melon & cucumber punch","https://www.bbcgoodfood.com/recipes/melon-cucumber-punch","Melon & cucumber punch","",""
"1614356037-6458","https://www.bbcgoodfood.com/recipes/collection/cocktail-recipes","","","Vodka martini","https://www.bbcgoodfood.com/recipes/vodka-martini","","[{""ingredients"":""60ml vodka""},{""ingredients"":""1 tbsp dry vermouth""},{""ingredients"":""olive or lemon peel, to garnish""}]","[{""method"":""STEP 1""},{""method"":""Stir the vodka, dry vermouth and a little ice together or put them in a cocktail shaker to combine.""},{""method"":""STEP 2""},{""method"":""Strain into a chilled martini glass. Serve with an olive on a cocktail stick or a twist of lemon peel.""}]"
