web-scraper-order,web-scraper-start-url,pagination,pagination-href,recipe,recipe-href,name,ingredients,method
"1614351215-5198","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Smoked haddock & creamed corn curry","https://www.bbcgoodfood.com/recipes/smoked-haddock-creamed-corn-curry","","[{""ingredients"":""325g can  sweetcorn""},{""ingredients"":""1 tbsp vegetable oil""},{""ingredients"":""1 onion , roughly chopped""},{""ingredients"":""1 tbsp mild curry powder""},{""ingredients"":""1 garlic clove , crushed""},{""ingredients"":""1 x 50 sachet  creamed coconut , chopped""},{""ingredients"":""4 frozen  smoked haddock fillets""},{""ingredients"":""cooked rice , to serve""}]","[{""method"":""STEP 1""},{""method"":""In a blender, whizz the sweetcorn, along with any liquid from the can, into a rough purée and set aside.""},{""method"":""STEP 2""},{""method"":""Heat the oil in a large lidded frying pan and cook the onion for 2-3 mins to soften. Add the curry powder and garlic and cook for 1 min more until fragrant.""},{""method"":""STEP 3""},{""method"":""Tip the creamed coconut into the pan with 300ml water, stirring until the creamed coconut dissolves. Add the puréed sweetcorn and bring to the boil. Place the haddock fillets in the sauce, then reduce the heat to a simmer. Cover and cook for 20 mins, or until the fish is cooked through. Season and serve with rice.""}]"
"1614351258-5214","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Pearl barley, bacon & leek casserole","https://www.bbcgoodfood.com/recipes/pearl-barley-bacon-leek-casserole","","[{""ingredients"":""1 tbsp olive oil""},{""ingredients"":""2 leeks , thickly sliced""},{""ingredients"":""2 garlic cloves , finely chopped""},{""ingredients"":""300g pearl barley, soaked for 1 hr""},{""ingredients"":""4 carrots , cubed""},{""ingredients"":""1 tbsp Dijon mustard , plus extra to serve""},{""ingredients"":""1l chicken stock""},{""ingredients"":""300g Savoy cabbage , shredded""},{""ingredients"":""200g lean  bacon joint, cooked, chopped into small pieces""}]","[{""method"":""STEP 1""},{""method"":""Heat a large pan over a medium heat. Add the olive oil and cook the leeks for a few mins, then add the garlic and cook for just 1 min more.""},{""method"":""STEP 2""},{""method"":""Add the pearl barley, carrots and mustard, then pour over the chicken stock. Season with plenty of ground black pepper and simmer for 20 mins, stirring occasionally. Add the cabbage with the bacon, and cook for 5-10 mins until cabbage is wilted and tender. Serve with extra Dijon mustard on the side.""}]"
"1614351232-5205","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Fruity tabbouleh with feta","https://www.bbcgoodfood.com/recipes/fruity-tabbouleh-feta","Fruity tabbouleh with feta","",""
"1614351237-5208","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Lentil & sweet potato curry","https://www.bbcgoodfood.com/recipes/lentil-sweet-potato-curry","","[{""ingredients"":""2 tbsp vegetable or olive oil""},{""ingredients"":""1 red onion, chopped""},{""ingredients"":""1 tsp cumin seeds""},{""ingredients"":""1 tsp mustard seeds (any colour)""},{""ingredients"":""1 tbsp medium curry powder""},{""ingredients"":""100g red or green lentil, or a mixture""},{""ingredients"":""2 medium  sweet potatoes, peeled and cut into chunks""},{""ingredients"":""500ml vegetable stock""},{""ingredients"":""400g can chopped tomato""},{""ingredients"":""400g can chickpea, drained""},{""ingredients"":""¼ small pack coriander (optional)""},{""ingredients"":""natural yogurt and naan bread, to serve""}]","[{""method"":""STEP 1""},{""method"":""Heat 2 tbsp vegetable or olive oil in a large pan, add 1 chopped red onion and cook for a few mins until softened.""},{""method"":""STEP 2""},{""method"":""Add 1 tsp cumin seeds, 1 tsp mustard seeds and 1 tbsp medium curry powder and cook for 1 min more, then stir in 100g red or green lentils (or a mixture), 2 medium sweet potatoes, cut into chunks, 500ml vegetable stock and a 400g can chopped tomatoes.""},{""method"":""STEP 3""},{""method"":""Bring to the boil, then cover and simmer for 20 mins until the lentils and sweet potatoes are tender. Add a drained 400g can chickpeas, then heat through.""},{""method"":""STEP 4""},{""method"":""Season, sprinkle with ¼ small pack coriander, if you like, and serve with seasoned yogurt and naan bread.""}]"
"1614351326-5241","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes/2","Udon noodle soup","https://www.bbcgoodfood.com/recipes/udon-noodle-soup","Udon noodle soup","",""
"1614351268-5217","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","One-pot chicken & mushroom risotto","https://www.bbcgoodfood.com/recipes/onepot-chicken-mushroom-risotto","One-pot chicken & mushroom risotto","",""
"1614351322-5240","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes/2","Sichuan-style pork & green bean stir-fry","https://www.bbcgoodfood.com/recipes/sichuan-style-pork-green-bean-stir-fry","","[{""ingredients"":""100g basmati rice""},{""ingredients"":""200g green bean , topped and tailed, then halved""},{""ingredients"":""1 ½ tbsp sunflower oil""},{""ingredients"":""140g pork mince""},{""ingredients"":""4 tsp dark soy sauce""},{""ingredients"":""2 tsp rice wine""},{""ingredients"":""1 tsp caster sugar""},{""ingredients"":""¼ tsp Sichuan pepper , lightly crushed using a pestle and mortar""},{""ingredients"":""1 red chilli , halved and sliced""},{""ingredients"":""4 fat garlic cloves , finely chopped""},{""ingredients"":""1 small knob of  ginger , finely chopped""},{""ingredients"":""3 spring onions , 2 finely chopped, 1 sliced for garnish""},{""ingredients"":""2 tsp sesame oil""}]","[{""method"":""STEP 1""},{""method"":""Cook the rice following pack instructions. Boil the beans for 4 mins, then drain under cold water, pat dry and set aside.""},{""method"":""STEP 2""},{""method"":""In a large non-stick wok or frying pan, heat 1 tbsp of the oil. Add the pork mince and fry for a few mins, breaking up into small pieces with the back of a spoon. Stir in half the soy, the rice wine and sugar and cook for 30 secs more. When the meat is cooked through, tip onto a plate.""},{""method"":""STEP 3""},{""method"":""Heat the remaining oil in the pan. Add the pepper, chilli, garlic, ginger and chopped onions, and stir-fry for 2 mins until ginger and garlic are softened. Tip in the beans, heat through, then add the mince – stir-fry for 2 mins until hot. Stir in the rest of the soy and sesame oil. Scatter with spring onions and serve with rice.""}]"
"1614351258-5213","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Pearl barley, bacon & leek casserole","https://www.bbcgoodfood.com/recipes/pearl-barley-bacon-leek-casserole","Pearl barley, bacon & leek casserole","",""
"1614351241-5210","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Healthy chilli","https://www.bbcgoodfood.com/recipes/chunky-chilli","","[{""ingredients"":""1-2 tbsp olive oil, plus extra if needed""},{""ingredients"":""400g diced stewing beef""},{""ingredients"":""1 onion, finely chopped""},{""ingredients"":""2 garlic cloves, finely chopped""},{""ingredients"":""1 ½ tsp ground cumin""},{""ingredients"":""1-2 tbsp chipotle paste (or gluten-free alternative), depending on how spicy you like it""},{""ingredients"":""400g can kidney bean in chilli sauce""},{""ingredients"":""400g can chopped tomato""},{""ingredients"":""1 lime, zested and cut into wedges""},{""ingredients"":""¼ small pack coriander, leaves only""},{""ingredients"":""cooked rice, to serve (optional)""}]","[{""method"":""STEP 1""},{""method"":""Heat the oil in a large pan and cook the beef pieces for a few mins on each side until browned all over. Remove from the pan with a slotted spoon and set aside.""},{""method"":""STEP 2""},{""method"":""Add the onion to the pan, with extra oil if needed, and cook until softened. Stir in the garlic, cumin and chipotle paste, and cook for 1 min. Sieve the kidney beans, reserving the sauce. Add this sauce, along with the chopped tomatoes and a can full of water, to the pan. Stir well, then return the meat to the pan. Bring to a simmer, then cook, covered, for 2 hrs or until the beef is tender (or bake in the oven for 3 hrs at 160C/140C fan/gas 3).""},{""method"":""STEP 3""},{""method"":""Add the reserved kidney beans and lime zest, season and warm through. Serve with a scattering of coriander leaves, the lime wedges to squeeze over, and rice, if you like.""}]"
"1614351228-5204","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Tomato & rice soup","https://www.bbcgoodfood.com/recipes/tomato-rice-soup","","[{""ingredients"":""2 tsp olive oil""},{""ingredients"":""1 onion , finely chopped""},{""ingredients"":""1 carrot , finely chopped""},{""ingredients"":""1 celery stick, finely chopped""},{""ingredients"":""1 tbsp golden caster sugar""},{""ingredients"":""2 tbsp vinegar (white, red or balsamic)""},{""ingredients"":""1 tbsp tomato purée""},{""ingredients"":""400g can  chopped tomato or passata""},{""ingredients"":""1l vegetable stock made with 2 cubes""},{""ingredients"":""140g rice (long-grain, basmati, wild, brown or a mixture)""},{""ingredients"":""¼ small pack  parsley , leaves only, chopped, and a few drops of pesto, to serve (optional)""}]","[{""method"":""STEP 1""},{""method"":""Heat the oil in a large saucepan and add the onion, carrot and celery, then cook gently until softened. Add the sugar and vinegar, cook for 1 min, then stir through the tomato purée. Add the chopped tomatoes or passata, the vegetable stock, and any brown rice, if using, then cover and simmer for 10 mins. If you are using wild rice, add this and simmer for 10 mins more. Finally, add any white rice you’re using, and simmer for a final 10 mins until the rice is tender.""},{""method"":""STEP 2""},{""method"":""Just before serving, sprinkle over some chopped parsley and season to taste. Divide into bowls and add a swirl of pesto to each, if you like.""}]"
"1614351272-5219","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Apple crumble sundae","https://www.bbcgoodfood.com/recipes/apple-crumble-sundae","Apple crumble sundae","",""
"1614351300-5232","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Egg-fried cauliflower rice with prawn cracker crumbs","https://www.bbcgoodfood.com/recipes/egg-fried-cauliflower-rice-prawn-cracker-crumbs","","[{""ingredients"":""160g frozen green beans""},{""ingredients"":""160g frozen peas""},{""ingredients"":""1 tbsp sunflower oil""},{""ingredients"":""50g bacon lardons""},{""ingredients"":""1 onion , chopped""},{""ingredients"":""160g carrots , peeled and finely chopped""},{""ingredients"":""1 large egg , beaten""},{""ingredients"":""200g small cauliflower florets""},{""ingredients"":""1 tbsp soy sauce""},{""ingredients"":""25ml sweet chilli sauce""},{""ingredients"":""20g prawn cracker""}]","[{""method"":""STEP 1""},{""method"":""Put the kettle on to boil. Put the beans and peas in a large sieve then pour over the boiled water to defrost them. Drain and set aside.""},{""method"":""STEP 2""},{""method"":""Heat 1 tsp oil in a large, non-stick frying pan or wok. Add the bacon and fry for 2-3 mins. Add another 1 tsp oil and cook the onion and carrots for 1-2 mins until slightly softened, then push the veg and bacon to one side of the pan. Add the final 1 tsp oil, then pour in the egg, stirring constantly to scramble it.""},{""method"":""STEP 3""},{""method"":""Pulse the cauliflower in a food processor until it resembles rice. Add the cauliflower and soy to the pan, and stir together. Add the green beans and peas, and cook, stirring, for 1-2 mins until hot through. Divide between two plates and serve with sweet chilli sauce for drizzling. Break the prawn crackers into rough crumbs. The crackers absorb moisture quickly so, to keep them crunchy, it’s best to serve them in a dish on the side to sprinkle over the rice while eating.""}]"
"1614351251-5211","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Super smoky bacon & tomato spaghetti","https://www.bbcgoodfood.com/recipes/super-smoky-bacon-tomato-spaghetti","Super smoky bacon & tomato spaghetti","",""
"1614351317-5238","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes/2","Smoky sweet potato & bean cakes with citrus salad","https://www.bbcgoodfood.com/recipes/smoky-sweet-potato-bean-cakes-citrus-salad","","[{""ingredients"":""1 sweet potato (about 200g), cut into cubes""},{""ingredients"":""400g can red kidney beans , drained and rinsed""},{""ingredients"":""3 spring onions , finely sliced""},{""ingredients"":""small bunch of  coriander , chopped""},{""ingredients"":""1 tbsp chipotle paste""},{""ingredients"":""2 tbsp sunflower oil""},{""ingredients"":""2 tbsp mayonnaise""},{""ingredients"":""juice 1 lime""},{""ingredients"":""1 Little Gem lettuce , torn""},{""ingredients"":""½ cucumber , halved lengthways and sliced on the diagonal""},{""ingredients"":""1 carrot , halved lengthways and sliced on the diagonal""}]","[{""method"":""STEP 1""},{""method"":""Microwave the sweet potato on High for 6 mins until tender. Lightly mash the beans, then add the potatoes, 2 spring onions, coriander, chipotle paste and seasoning. Mash a little more until the potato is combined. Shape into 4 cakes.""},{""method"":""STEP 2""},{""method"":""Heat the oil in a non-stick frying pan, then fry the bean cakes for 4-5 mins each side.""},{""method"":""STEP 3""},{""method"":""Meanwhile, mix the mayo, lime juice and seasoning in a bowl. Add remaining onion and salad ingredients and toss well. Serve alongside the bean cakes.""}]"
"1614351232-5206","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","","","Fruity tabbouleh with feta","https://www.bbcgoodfood.com/recipes/fruity-tabbouleh-feta","","[{""ingredients"":""100g bulgur wheat""},{""ingredients"":""6 tbsp olive oil""},{""ingredients"":""100g couscous""},{""ingredients"":""200g mixed shelled nut , roughly chopped (any mixture of almonds, hazelnuts, walnuts, pecans and pistachios)""},{""ingredients"":""200g mixed  dried fruit , large fruit chopped (any mixture of raisins, sultanas, apricots, dates and cranberries)""},{""ingredients"":""zest and juice 2  lemons""},{""ingredients"":""small pack  mint , leaves roughly chopped""},{""ingredients"":""small pack  flat-leaf parsley , leaves roughly chopped""},{""ingredients"":""2 garlic cloves , crushed""},{""ingredients"":""100g feta cheese , crumbled""},{""ingredients"":""grilled lamb or  pork chops , to serve (optional)""}]","[{""method"":""STEP 1""},{""method"":""Boil the kettle. Put the bulgur wheat in a sieve and rinse with cold water until the water runs clear. Drain well and transfer to a mixing bowl. Pour over 200ml boiling water and 1 tbsp olive oil, cover with a plate and leave to soak for 30 mins. Meanwhile, put the couscous into a second mixing bowl with 1 tbsp olive oil, just cover with boiling water, then cover with a plate and leave to stand for 5-10 mins.""},{""method"":""STEP 2""},{""method"":""Once the bulgur wheat and couscous are ready, put them in a mixing bowl and fluff up the grains with a fork. Stir through the nuts and dried fruit, too.""},{""method"":""STEP 3""},{""method"":""Whisk together the lemon zest and juice, herbs, remaining olive oil and the garlic. Pour over the grains, nuts and fruit, and stir everything together well with some seasoning. Transfer to a serving plate, scatter with the crumbled feta, and serve with grilled lamb or pork chops, if you like.""}]"
"1614351308-5234","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes","Page 2","https://www.bbcgoodfood.com/recipes/collection/cheap-eat-recipes/2","Roasted beetroot & egg salad","https://www.bbcgoodfood.com/recipes/roasted-beetroot-egg-salad","","[{""ingredients"":""200g vacuum-packed cooked beetroot (not in vinegar), cut into wedges""},{""ingredients"":""2 tbsp olive oil""},{""ingredients"":""3 tsp sherry vinegar""},{""ingredients"":""1 tbsp clear honey""},{""ingredients"":""2 eggs""},{""ingredients"":""2 tbsp crème fraîche""},{""ingredients"":""1 tsp Dijon mustard""},{""ingredients"":""a few stalks of  dill , most finely chopped, a few small fronds picked for garnish""},{""ingredients"":""70g bag lamb's lettuce""},{""ingredients"":""1 tbsp roasted chopped hazelnut""},{""ingredients"":""2 slices  bread and butter, to serve""}]","[{""method"":""STEP 1""},{""method"":""Heat oven to 200C/180C fan/gas 6. Pop the beetroot in a roasting tin, add half the oil, 2 tsp of the vinegar, the honey and seasoning. Roast for 20-25 mins, tossing twice until sticky. Leave to cool for a few mins.""},{""method"":""STEP 2""},{""method"":""Meanwhile, put the eggs in boiling water. Turn down the heat and simmer for 10 mins, then run under cold water to cool. Peel and halve.""},{""method"":""STEP 3""},{""method"":""Mix the remaining oil, crème fraîche, mustard, the final tsp of vinegar and chopped dill together. Toss the lamb’s lettuce in the dressing, and arrange on plates with the roasted beetroot and egg. Scatter with a few more dill fronds and tumble over the nuts. Serve with bread and butter.""}]"
