recip,ing_group,meth_group
Raspberry cordial,"[{""ing_group"":""500g raspberry""},{""ing_group"":""500g caster sugar""},{""ing_group"":""3 tbsp red wine vinegar""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the raspberries in a pan with the sugar and vinegar. Mash over a low heat for 10 mins until smooth and syrupy. Rub through a sieve into a clean pan.""},{""meth_group"":""STEP 2""},{""meth_group"":""Tip the seeds from the sieve into a bowl and stir in 300ml water, then sieve again to remove the last of the pulp from seeds. Pour the liquid into the pan with the sieved pulp, stir well and boil for 1 min. Pour into small sterilised bottles and seal. The cordial will keep unopened for a few months. Once opened, store in the fridge.""}]"
Herbed Jersey Royal crab cakes,"[{""ing_group"":""400g Jersey Royal potatoes , scrubbed not peeled""},{""ing_group"":""2 tbsp olive oil""},{""ing_group"":""pinch of fennel seeds""},{""ing_group"":""¼ bulb of fennel , finely chopped""},{""ing_group"":""1 red chilli , deseeded and finely chopped""},{""ing_group"":""1 garlic clove , crushed""},{""ing_group"":""4 spring onions , sliced""},{""ing_group"":""handful of samphire (optional)""},{""ing_group"":""200g cooked crabmeat , a mix of white and brown""},{""ing_group"":""finely chopped soft herbs (a mixture of dill, parsley and tarragon works well), plus extra to serve""},{""ing_group"":""1 tbsp capers""},{""ing_group"":""pinch of cayenne pepper""},{""ing_group"":""1 lemon , 1/2 zested and juiced, 1/2 cut into wedges for serving""},{""ing_group"":""1 tbsp mayonnaise , plus extra to serve""},{""ing_group"":""flour ,  for dusting""},{""ing_group"":""watercress , to serve""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the potatoes in a pan, cover with water, add 1 tsp salt and bring to the boil. Cook for 12-15 mins or until tender enough to smash. Leave to cool.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat 1 tbsp of the oil in a frying pan and add the fennel seeds, fennel, chilli and garlic followed by the spring onions. Gently cook for 3-5 mins until fragrant but not coloured. During the last minute, add the samphire.""},{""meth_group"":""STEP 3""},{""meth_group"":""In a bowl, mash the potatoes until well broken down, then combine with the crabmeat, herbs, spring onion mix, cayenne, lemon zest and mayo. Season and mix until well combined, then chill for 30 mins.""},{""meth_group"":""STEP 4""},{""meth_group"":""Heat oven to 200C/180C fan/gas 6. Oil your hands and shape the mixture into eight palm-sized patties and dip in plenty of flour. Be careful, as they are quite fragile and sticky – a good way to do this is on a tray lined with baking parchment. If you have time, put in the fridge to set for 30 mins before cooking. Heat the remaining oil in a non-stick frying pan and fry for 2-3 mins on each side until crisp and golden. Transfer to an oiled baking tray and finish in the oven for 5 mins. Serve with mayo, some watercress tossed with the remaining herbs, and the lemon juice with the lemon wedges on the side.""}]"
Pineapple & pork skewers,"[{""ing_group"":""400g pork fillet""},{""ing_group"":""4 tbsp light muscovado sugar""},{""ing_group"":""60ml cider vinegar""},{""ing_group"":""1 tsp fish sauce""},{""ing_group"":""½ small pineapple , peeled, cored and cut into chunks (or use ready prepped fresh pineapple, drained well)""},{""ing_group"":""1 green pepper , deseeded and cut into squares (optional)""},{""ing_group"":""4 spring onions , trimmed and cut into 4 equal lengths""},{""ing_group"":""small bunch coriander , chopped (optional)""},{""ing_group"":""cooked rice or pitta, to serve""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cut the pork into cubes. Heat the sugar and vinegar in a pan over a low heat until the sugar melts. Add the fish sauce and cool. Tip in the pork and mix well so that all the cubes are covered in sauce.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the barbecue. If you are using coals, wait until they turn white. If you are indoors, heat a griddle pan. Thread the pork and pineapple onto skewers, alternating pieces with the pepper and spring onion.""},{""meth_group"":""STEP 3""},{""meth_group"":""Barbecue or griddle the skewers for 3-4 mins each side (you may need to cook them for longer if griddling). Sprinkle with coriander, if you like, then serve with rice or slide into pitta breads.""}]"
Herbed Jersey Royal crab cakes,"[{""ing_group"":""400g Jersey Royal potatoes , scrubbed not peeled""},{""ing_group"":""2 tbsp olive oil""},{""ing_group"":""pinch of fennel seeds""},{""ing_group"":""¼ bulb of fennel , finely chopped""},{""ing_group"":""1 red chilli , deseeded and finely chopped""},{""ing_group"":""1 garlic clove , crushed""},{""ing_group"":""4 spring onions , sliced""},{""ing_group"":""handful of samphire (optional)""},{""ing_group"":""200g cooked crabmeat , a mix of white and brown""},{""ing_group"":""finely chopped soft herbs (a mixture of dill, parsley and tarragon works well), plus extra to serve""},{""ing_group"":""1 tbsp capers""},{""ing_group"":""pinch of cayenne pepper""},{""ing_group"":""1 lemon , 1/2 zested and juiced, 1/2 cut into wedges for serving""},{""ing_group"":""1 tbsp mayonnaise , plus extra to serve""},{""ing_group"":""flour ,  for dusting""},{""ing_group"":""watercress , to serve""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the potatoes in a pan, cover with water, add 1 tsp salt and bring to the boil. Cook for 12-15 mins or until tender enough to smash. Leave to cool.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat 1 tbsp of the oil in a frying pan and add the fennel seeds, fennel, chilli and garlic followed by the spring onions. Gently cook for 3-5 mins until fragrant but not coloured. During the last minute, add the samphire.""},{""meth_group"":""STEP 3""},{""meth_group"":""In a bowl, mash the potatoes until well broken down, then combine with the crabmeat, herbs, spring onion mix, cayenne, lemon zest and mayo. Season and mix until well combined, then chill for 30 mins.""},{""meth_group"":""STEP 4""},{""meth_group"":""Heat oven to 200C/180C fan/gas 6. Oil your hands and shape the mixture into eight palm-sized patties and dip in plenty of flour. Be careful, as they are quite fragile and sticky – a good way to do this is on a tray lined with baking parchment. If you have time, put in the fridge to set for 30 mins before cooking. Heat the remaining oil in a non-stick frying pan and fry for 2-3 mins on each side until crisp and golden. Transfer to an oiled baking tray and finish in the oven for 5 mins. Serve with mayo, some watercress tossed with the remaining herbs, and the lemon juice with the lemon wedges on the side.""}]"
Pineapple & pork skewers,"[{""ing_group"":""400g pork fillet""},{""ing_group"":""4 tbsp light muscovado sugar""},{""ing_group"":""60ml cider vinegar""},{""ing_group"":""1 tsp fish sauce""},{""ing_group"":""½ small pineapple , peeled, cored and cut into chunks (or use ready prepped fresh pineapple, drained well)""},{""ing_group"":""1 green pepper , deseeded and cut into squares (optional)""},{""ing_group"":""4 spring onions , trimmed and cut into 4 equal lengths""},{""ing_group"":""small bunch coriander , chopped (optional)""},{""ing_group"":""cooked rice or pitta, to serve""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cut the pork into cubes. Heat the sugar and vinegar in a pan over a low heat until the sugar melts. Add the fish sauce and cool. Tip in the pork and mix well so that all the cubes are covered in sauce.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the barbecue. If you are using coals, wait until they turn white. If you are indoors, heat a griddle pan. Thread the pork and pineapple onto skewers, alternating pieces with the pepper and spring onion.""},{""meth_group"":""STEP 3""},{""meth_group"":""Barbecue or griddle the skewers for 3-4 mins each side (you may need to cook them for longer if griddling). Sprinkle with coriander, if you like, then serve with rice or slide into pitta breads.""}]"
Strawberry shortcake slice,"[{""ing_group"":""600ml double cream""},{""ing_group"":""1 tbsp vanilla bean paste""},{""ing_group"":""1 tbsp orange blossom water""},{""ing_group"":""125g icing sugar , plus 2 tbsp""},{""ing_group"":""500g shortcake biscuits , plus 3 crushed""},{""ing_group"":""350g strawberries , sliced""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Line a 20cm cake tin or dish (either a square or rectangle works well) with cling film, leaving an overhang. Whip 500ml of the cream, the vanilla, orange blossom water and 125g icing sugar with an electric whisk until thick and billowy.""},{""meth_group"":""STEP 2""},{""meth_group"":""Add a layer of biscuits to the tin, and spoon over some of the cream, about 1cm thick all over. Add a layer of strawberry slices, then repeat with the cream, biscuits and strawberries until you fill the tin, finishing on a layer of biscuit. You’ll have some strawberries left over to serve. Press everything down well so every biscuit is covered in cream. Cover and chill overnight.""},{""meth_group"":""STEP 3""},{""meth_group"":""To serve, flip the tin onto a serving plate, and remove the cling film. Whip the remaining 100ml cream with 1 tbsp icing sugar and dollop on top of the cake, swirling it around. Top with the remaining strawberry slices in lines, sift over the remaining 1 tbsp icing sugar, and sprinkle the biscuit crumbs in between the rows of strawberries. Cut into slices to serve.""}]"
Stuffed rainbow baguette,"[{""ing_group"":""1 artisan-style baguette""},{""ing_group"":""4 tbsp hummus""},{""ing_group"":""8 slices medium  cheddar""},{""ing_group"":""¼ red pepper , thinly sliced""},{""ing_group"":""¼ cooked beetroot , shredded""},{""ing_group"":""2 radishes , thinly sliced""},{""ing_group"":""1 yellow or orange carrot , shredded or grated""},{""ing_group"":""handful green leaves""},{""ing_group"":""1 tbsp vegetarian pesto , mixed with 1 tbsp olive oil""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cut the baguette in half so you can open it out like a book. Spread the hummus over the bottom half of the baguette and add the cheese, breaking the slices up if you need to. Scatter the pepper, beetroot, radish and carrot along the baguette, then add the leaves, dribble with the pesto and close the baguette.""},{""meth_group"":""STEP 2""},{""meth_group"":""Wrap the baguette tightly in baking parchment and tie securely with string. Take a bread knife with you so you can slice it when you’re ready to eat it.""}]"
Pepper & lemon spaghetti with basil & pine nuts,"[{""ing_group"":""1 tbsp rapeseed oil""},{""ing_group"":""1 red pepper , deseeded and diced""},{""ing_group"":""150g wholemeal spaghetti""},{""ing_group"":""2 courgettes (250g), grated""},{""ing_group"":""2 garlic cloves , finely grated""},{""ing_group"":""1 lemon , zested and juiced""},{""ing_group"":""15g basil , finely chopped""},{""ing_group"":""25g pine nuts , toasted""},{""ing_group"":""2 tbsp finely grated parmesan or vegetarian alternative (optional)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the oil in a large non-stick frying pan. Add the pepper and cook for 5 mins. Meanwhile, cook the pasta for 10-12 mins until tender.""},{""meth_group"":""STEP 2""},{""meth_group"":""Add the courgette and garlic to the pepper and cook, stirring very frequently, for 10-15 mins until the courgette is really soft.""},{""meth_group"":""STEP 3""},{""meth_group"":""Stir in the lemon zest and juice, basil and spaghetti (reserve some pasta water) and toss together, adding a little of the pasta water until nicely coated. Add the pine nuts, then spoon into bowls and serve topped with the parmesan, if using.""}]"
Lemon & yogurt chicken flatbreads,"[{""ing_group"":""2 skinless chicken breasts , cut into strips""},{""ing_group"":""1 lemon""},{""ing_group"":""1 tsp dried oregano (optional)""},{""ing_group"":""1 garlic clove , crushed""},{""ing_group"":""pinch of cinnamon""},{""ing_group"":""1 tbsp olive oil""},{""ing_group"":""4 flatbreads""},{""ing_group"":""4 tbsp Greek yogurt""},{""ing_group"":""¼ red pepper , finely chopped""},{""ing_group"":""1 Little Gem lettuce , finely chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the chicken in a bowl. Pare strips of zest from the lemon using a vegetable peeler, then juice the lemon too. Add the peel and half the juice to the chicken, along with the oregano (if using), garlic, cinnamon and oil. Mix well, cover and chill for an hour. The lemon juice will start to ‘cook’ the chicken, so don’t leave for longer.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the barbecue. If you are using coals, wait until they turn white. If you are indoors, heat a griddle pan. Thread the chicken strips onto a couple of metal skewers to stop them falling through the grate (you don’t need to do this for the griddle), then grill for a couple of mins each side. The strips will cook through quickly so don’t leave them too long. Season if you like.""},{""meth_group"":""STEP 3""},{""meth_group"":""Warm the flatbreads on the edge of the barbecue (or on the griddle) for a minute, then transfer them to plates and spread each with ½ tbsp yogurt. Divide the chicken strips between them, then dot on the remaining yogurt and sprinkle over the pepper and lettuce. Fold or roll the flatbreads to eat.""}]"
Spiced hummingbird cake,"[{""ing_group"":""225ml vegetable oil , plus extra for the tins""},{""ing_group"":""300g self-raising flour""},{""ing_group"":""½ tsp baking powder""},{""ing_group"":""300g golden caster sugar""},{""ing_group"":""1 tsp ground cinnamon""},{""ing_group"":""2 cardamom pods , cracked open and seeds finely crushed""},{""ing_group"":""whole nutmeg , for grating""},{""ing_group"":""2 very ripe bananas , mashed""},{""ing_group"":""3 medium eggs , beaten""},{""ing_group"":""150g pineapple chunks , from a can, drained and chopped""},{""ing_group"":""80g pecans , finely chopped""},{""ing_group"":""200g full-fat soft cheese""},{""ing_group"":""150g softened, unsalted butter""},{""ing_group"":""80g runny honey""},{""ing_group"":""80g icing sugar""},{""ing_group"":""1 large orange , zested""},{""ing_group"":""edible flowers and dried pineapple rings, to decorate (optional)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the oven to 180C/160C fan/gas 4. Oil two 20cm, loose-bottomed cake tins and line the bottom of each one with baking parchment.""},{""meth_group"":""STEP 2""},{""meth_group"":""Sieve the flour into a large mixing bowl, and add 1/2 tsp salt and the baking powder. Stir through the sugar, cinnamon, cardamom and a very good grating of nutmeg. In a separate bowl, whisk the mashed bananas through the eggs and oil until well combined. Make a well in the centre of the dry ingredients and tip in the wet mixture. Fold everything together until combined, then mix through the pineapple and pecans. Spoon the mixture into the tins and bake in the centre of the oven for 35-45 mins or until a skewer inserted into the middle comes out clean. Leave to cool in the tins for about 10 mins before transferring to a wire rack to cool down completely.""},{""meth_group"":""STEP 3""},{""meth_group"":""Meanwhile, put the soft cheese, softened butter, honey and sugar into a mixing bowl and beat together until just combined. Try not to overbeat the mixture or it will become too soft and runny. Chill for 30 mins in the fridge before using.""},{""meth_group"":""STEP 4""},{""meth_group"":""Put one of the cakes on a serving plate and spread with half the icing. Top with the other cake and smooth over the remaining icing. Finish with shavings of orange zest, edible flowers and dried pineapple rings, if you like. Will keep in an airtight container for up to three days.""}]"
