web-scraper-order,web-scraper-start-url,pagination,pagination-href,recipe,recipe-href,name,ingredients,method
"1614355652-6382","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Choc-orange hot chocolate","https://www.bbcgoodfood.com/recipes/choc-orange-hot-chocolate","","[{""ingredients"":""150ml milk""},{""ingredients"":""50ml double cream""},{""ingredients"":""zest of 0.5 orange""},{""ingredients"":""50g dark chocolate , chopped""},{""ingredients"":""25ml orange liqueur""}]","[{""method"":""STEP 1""},{""method"":""Heat the milk, cream and orange zest together in a saucepan until simmering then remove from the heat and pour through a sieve into a jug to remove the orange zest. Pour the infused milk mixture back into the pan and add the chocolate, stirring until the chocolate has melted and is really smooth.""},{""method"":""STEP 2""},{""method"":""Put the pan back on the heat to warm through then add the orange liqueur. Pour into a mug and serve.""}]"
"1614355638-6375","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Hot chocolate set","https://www.bbcgoodfood.com/recipes/hot-chocolate-set","Hot chocolate set","",""
"1614355706-6402","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Deluxe hot chocolate with marshmallows","https://www.bbcgoodfood.com/recipes/deluxe-hot-chocolate-marshmallows","","[{""ingredients"":""600ml milk""},{""ingredients"":""142ml pot double cream""},{""ingredients"":""100g chopped chocolate""}]","[{""method"":""STEP 1""},{""method"":""Pour the milk, double cream and chopped chocolate into a pan. Bring gently to the boil, whisking until smooth. Serve in individual cups or mugs topped with mini marshmallows and a little grated chocolate.""}]"
"1614355706-6401","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Deluxe hot chocolate with marshmallows","https://www.bbcgoodfood.com/recipes/deluxe-hot-chocolate-marshmallows","Deluxe hot chocolate with marshmallows","",""
"1614355643-6377","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Spiced hot choc","https://www.bbcgoodfood.com/recipes/spiced-hot-choc","Spiced hot choc","",""
"1614355675-6390","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Coconut hot chocolate","https://www.bbcgoodfood.com/recipes/coconut-hot-chocolate","","[{""ingredients"":""150ml whole milk""},{""ingredients"":""25g white chocolate , chopped""},{""ingredients"":""25ml coconut-flavoured rum (we used Malibu)""},{""ingredients"":""1 tsp finely grated  dark chocolate""},{""ingredients"":""1 tsp coconut flakes , toasted (optional)""}]","[{""method"":""STEP 1""},{""method"":""Pour the milk into a small pan and then place over a medium heat until simmering, stirring so it doesn’t scorch. Remove the pan from the heat then add the white chocolate and stir. Once the chocolate has melted, place the pan back on the heat to warm through. Add the coconut-flavoured rum and pour into a mug.""},{""method"":""STEP 2""},{""method"":""Garnish with the dark chocolate and a few toasted coconut flakes if you like.""}]"
"1614355710-6404","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","White hot chocolate","https://www.bbcgoodfood.com/recipes/white-hot-chocolate","","[{""ingredients"":""200ml  milk""},{""ingredients"":""100g  white chocolate, finely chopped""},{""ingredients"":""½ tsp  vanilla extract or bean paste""},{""ingredients"":""1 tbsp whipped or  squirty cream""},{""ingredients"":""a few mini  marshmallows""},{""ingredients"":""1 tsp  caramel sauce""},{""ingredients"":""pinch of  sugar sprinkles""},{""ingredients"":""pinch of ground cinnamon""}]","[{""method"":""STEP 1""},{""method"":""Pour boiling water from the kettle into a heatproof mug or glass to warm it up. Heat the milk in a small pan, or in blasts in the microwave, until steaming. Pour the hot water out the mug, and tip in the chocolate and vanilla. Pour over the hot milk and stir for 30 seconds until the chocolate has melted. Top with the cream, marshmallows and drizzle over the sauce with a pinch of sprinkles and cinnamon, if you like.""}]"
"1614355690-6395","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Easter hot chocolate","https://www.bbcgoodfood.com/recipes/easter-hot-chocolate","Easter hot chocolate","",""
"1614355652-6381","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Choc-orange hot chocolate","https://www.bbcgoodfood.com/recipes/choc-orange-hot-chocolate","Choc-orange hot chocolate","",""
"1614355720-6408","https://www.bbcgoodfood.com/recipes/collection/hot-chocolate-recipes","","","Homemade hot chocolate","https://www.bbcgoodfood.com/recipes/homemade-hot-chocolate","","[{""ingredients"":""250ml  milk of your choice""},{""ingredients"":""1 tbsp  cocoa""},{""ingredients"":""1-2 tbsp  soft light brown sugar""},{""ingredients"":""25g dark or plain  chocolate, finely chopped, plus a grating to serve""},{""ingredients"":""1 tbsp  whipped cream or squirty cream""}]","[{""method"":""STEP 1""},{""method"":""Heat the milk, cocoa, sugar and chocolate in a small pan over a medium heat until steaming and the chocolate has melted. Whisk to dissolve the cocoa.""},{""method"":""STEP 2""},{""method"":""Pour into a mug, then add the cream to float on top. Grate over a little more chocolate to serve.""}]"
